priority,id,assumption,status,current_confidence,evidence_for,counter_evidence_or_gap,next_test,decision_threshold,owner,target_date
1,A01,"Chris can safely serve people in acute life disruption within a clear non-clinical role",open,very_low,"Founder intent includes explicit boundaries","No reviewed scope; no screening/referral/supervision system; common presentations may exceed competence","Five expert reviews of role map and risk flow","Proceed only if experts agree a workable scope and prerequisites can be met",Chris,2026-08-29
2,A02,"Separation/divorce is the best first discovery beachhead",provisional,low,"102678 divorces in England and Wales in 2023; visible mixed emotional/practical jobs; reachable communities and referrers","No interviews; public posters are self-selected; legal/clinical needs may dominate","20-25 recent separation interviews plus 8-10 redundancy comparisons","Keep primary if a repeated urgent job and reachable safe subsegment outperform the backup",Chris,2026-09-19
3,A03,"People want emotional containment and practical action from the same person",open,very_low,"Founder anecdote; public coaching offers blend emotional and practical themes","Customers may prefer separate accredited specialists; category may be confusing","Episode interviews and integrated-versus-separate role-card test","At least half of relevant interviewees independently prefer or strongly value integration",Chris,2026-09-19
4,A04,"Appropriate clients will trust Chris enough to disclose and act",open,very_low,"Personal evidence of unusual disclosure and emotional safety","No client sample; trust may depend on credentials lived experience gender referral or title","Blind profile tests; referral-source interviews; bounded pilot feedback","Clear trust signals and no recurring disqualifying objection in the target segment",Chris,2026-10-03
5,A05,"The service produces useful durable improvement beyond natural recovery",open,very_low,"One illustrative relocation conversation; heterogeneous adjacent intervention evidence","No ELS outcomes baseline follow-up or comparison","Client-defined outcomes with baseline milestone exit and follow-up in pilot","Most eligible pilot clients improve on agreed outcomes without serious adverse or dependency signals",Chris,2026-12-12
6,A06,"High-touch support can increase agency without dependency",open,very_low,"Agency is an explicit design principle","Ongoing access and founder economics can reward dependence","Access limits; step-down reviews; dependency questions; adverse-effect log","No serious dependency pattern and evidence of increased independent navigation",Chris,2026-12-12
7,A07,"A viable group will pay enough for the offer",open,very_low,"Adjacent public offers reach GBP800 monthly and GBP995 per package; concierge retainers exceed GBP1000","List prices are not sales evidence; many alternatives are free or cheaper","Past-spend interviews then refundable deposits and two paid pilot options","Behavioural commitment at a price that covers bounded delivery without selecting for unsafe distress",Chris,2026-10-17
8,A08,"Four or five clients form a sustainable workload",open,very_low,"Illustrative bounded model gives 56 monthly delivery hours for four clients","High-access version reaches 88 hours before sales research leave and general admin","Two-week service simulation and detailed time log","Delivery remains below the agreed capacity ceiling with viable effective hourly margin",Chris,2026-10-17
9,A09,"Emotional Life Support is a trusted and safe brand name",open,very_low,"Warm memorable metaphor; owned domain","May imply medicine emergency constant availability or dependency; exact phrase is not an established category","Unprompted comprehension and association testing with at least 20 target participants","At least 80 percent understand non-clinical support after a descriptor and crisis/dependency misread is rare",Chris,2026-10-03
10,A10,"High-touch learning will reveal repeatable scalable elements",open,very_low,"The proposed process contains codable steps","Value may depend on Chris's personal presence and judgement","Structured intervention-context-outcome coding and one repeated element test","Same element is useful across multiple appropriate cases without reduced safety or agency",Chris,2027-01-30
